fraction,reciprocity,transitivity,specification
0.0205078125,0.0615234375,0.9873046875,0
0.2197265625,0.0966796875,0.5185546875,0
0.39208984375,0.79833984375,0.85986328125,0
0.75244140625,0.97900390625,0.46337890625,0
0.68896484375,0.61962890625,0.03173828125,0
0.89306640625,0.03271484375,0.72900390625,0
0.0205078125,0.0615234375,0.0634765625,0
0.39208984375,0.19775390625,0.85986328125,0
0.6767578125,0.0966796875,0.5185546875,0
0.54931640625,0.68896484375,0.03173828125,0
0.75244140625,0.97900390625,0.64111328125,0
0.90771484375,0.58837890625,0.72900390625,0
0.6259765625,0.8779296875,0.4873046875,0
0.2197265625,0.2802734375,0.5185546875,0
0.90869140625,0.79833984375,0.85986328125,0
0.48583984375,0.70458984375,0.96337890625,0
0.54931640625,0.61962890625,0.01025390625,0
0.5205078125,0.8779296875,0.4873046875,0
0.2197265625,0.0966796875,0.9072265625,0
0.90771484375,0.03271484375,0.68798828125,0
0.25244140625,0.70458984375,0.96337890625,0
0.90869140625,0.19775390625,0.55712890625,0
0.54931640625,0.61962890625,0.03173828125,0
0.2197265625,0.2802734375,0.9072265625,0
0.6259765625,0.5615234375,0.4873046875,0
0.90771484375,0.58837890625,0.68798828125,0
0.48583984375,0.47900390625,0.96337890625,0
0.90869140625,0.19775390625,0.85986328125,0
0.6767578125,0.0966796875,0.9072265625,0
0.6259765625,0.8779296875,0.5634765625,0
0.93896484375,0.43896484375,0.76025390625,0
0.89306640625,0.03271484375,0.68798828125,0
0.48583984375,0.70458984375,0.14111328125,0
0.26708984375,0.42333984375,0.93212890625,0
0.29931640625,0.43896484375,0.76025390625,0
0.6259765625,0.5615234375,0.5634765625,0
0.6767578125,0.2802734375,0.5185546875,0
0.48583984375,0.47900390625,0.14111328125,0
0.89306640625,0.58837890625,0.72900390625,0
0.78369140625,0.42333984375,0.93212890625,0
0.5205078125,0.8779296875,0.5634765625,0
0.6767578125,0.2802734375,0.9072265625,0
0.93896484375,0.86962890625,0.76025390625,0
0.25244140625,0.70458984375,0.14111328125,0
0.26708984375,0.07275390625,0.93212890625,0
0.89306640625,0.58837890625,0.68798828125,0
0.5205078125,0.5615234375,0.4873046875,0
0.25244140625,0.47900390625,0.96337890625,0
0.7197265625,0.5966796875,0.0185546875,0
0.93896484375,0.43896484375,0.28173828125,0
0.26708984375,0.42333984375,0.73486328125,0
0.40771484375,0.53271484375,0.22900390625,0
0.5205078125,0.5615234375,0.5634765625,0
0.25244140625,0.47900390625,0.14111328125,0
0.1767578125,0.5966796875,0.0185546875,0
0.26708984375,0.07275390625,0.73486328125,0
0.93896484375,0.86962890625,0.28173828125,0
0.39306640625,0.53271484375,0.22900390625,0
0.36083984375,0.07958984375,0.58837890625,0
0.8759765625,0.1279296875,0.7373046875,0
0.7197265625,0.7802734375,0.0185546875,0
0.78369140625,0.42333984375,0.73486328125,0
