fraction,reciprocity,transitivity,specification

0.0615234375,0.0634765625,0.9873046875,0
0.2197265625,0.0966796875,0.5185546875,1
0.39208984375,0.79833984375,0.55712890625,0
0.58837890625,0.03271484375,0.72900390625,1
0.97900390625,0.64111328125,0.75732421875,1
0.68896484375,0.68896484375,0.01025390625,1
0.0615234375,0.0634765625,0.5146484375,0
0.2802734375,0.0966796875,0.5185546875,1
0.39208984375,0.85986328125,0.78857421875,0
0.0615234375,0.0634765625,0.5146484375,0
0.90771484375,0.68798828125,0.72900390625,1
0.2197265625,0.9072265625,0.5185546875,1
0.19775390625,0.79833984375,0.78857421875,0
0.68896484375,0.03173828125,0.80419921875,1
0.97900390625,0.64111328125,0.75732421875,0
0.19775390625,0.85986328125,0.55712890625,0
0.6259765625,0.8779296875,0.4873046875,1
0.2197265625,0.0966796875,0.0458984375,1
0.61962890625,0.68896484375,0.80419921875,1
0.48583984375,0.70458984375,0.96337890625,0
0.90771484375,0.03271484375,0.52294921875,1
0.19775390625,0.85986328125,0.78857421875,1
0.5615234375,0.8779296875,0.4873046875,1
0.2197265625,0.0966796875,0.5185546875,1
0.47900390625,0.70458984375,0.96337890625,0
0.19775390625,0.85986328125,0.78857421875,0
0.61962890625,0.03173828125,0.01025390625,1
0.90771484375,0.03271484375,0.72900390625,0
0.2197265625,0.9072265625,0.0458984375,1
0.26708984375,0.42333984375,0.93212890625,1
0.6259765625,0.5634765625,0.4873046875,1
0.48583984375,0.14111328125,0.96337890625,0
0.07275390625,0.42333984375,0.93212890625,1
0.61962890625,0.03173828125,0.80419921875,1
0.2802734375,0.0966796875,0.0458984375,1
0.48583984375,0.70458984375,0.25732421875,0
0.90771484375,0.68798828125,0.52294921875,0
0.26708984375,0.73486328125,0.93212890625,1
0.6259765625,0.8779296875,0.0146484375,1
0.2802734375,0.9072265625,0.5185546875,1
0.61962890625,0.03173828125,0.80419921875,1
0.48583984375,0.70458984375,0.96337890625,1
0.26708984375,0.42333984375,0.41357421875,1
0.6259765625,0.8779296875,0.4873046875,1
0.58837890625,0.03271484375,0.52294921875,0
0.2802734375,0.9072265625,0.0458984375,1
0.26708984375,0.42333984375,0.93212890625,1
0.93896484375,0.43896484375,0.76025390625,0
0.48583984375,0.14111328125,0.25732421875,1
0.58837890625,0.68798828125,0.72900390625,0
0.2802734375,0.9072265625,0.0458984375,1
0.6259765625,0.5634765625,0.0146484375,1
0.26708984375,0.73486328125,0.41357421875,1
0.47900390625,0.70458984375,0.25732421875,1
0.07275390625,0.42333984375,0.41357421875,1
0.86962890625,0.43896484375,0.76025390625,0
0.58837890625,0.68798828125,0.52294921875,1
0.5615234375,0.8779296875,0.0146484375,1
0.07275390625,0.73486328125,0.93212890625,1
0.7197265625,0.5966796875,0.0185546875,0
0.47900390625,0.14111328125,0.96337890625,1
0.58837890625,0.68798828125,0.52294921875,0
0.07275390625,0.73486328125,0.41357421875,1
0.93896484375,0.28173828125,0.76025390625,0
0.5615234375,0.5634765625,0.4873046875,1
0.07275390625,0.73486328125,0.41357421875,1
0.47900390625,0.14111328125,0.25732421875,0
0.7802734375,0.5966796875,0.0185546875,0
